feature,importance,original_feature,feature_group
numeric__distance_log,0.434788,distance_log,distance
numeric__distance,0.21381964,distance,distance
numeric__distance_squared,0.09882734,distance_squared,distance
numeric__lon_difference,0.005755295,lon_difference,lon_difference
categorical__equipment_Dry Van,0.0035343734,equipment_Dry Van,equipment
numeric__geo_distance,0.0029048058,geo_distance,geo_distance
categorical__equipment_Reefer,0.001678519,equipment_Reefer,equipment
categorical__delivery_Buffalo,0.0013130346,delivery_Buffalo,delivery
categorical__pickup_Buffalo,0.0012742514,pickup_Buffalo,pickup
numeric__is_weekend,0.0012504463,is_weekend,is_weekend
numeric__distance_weight_interaction,0.001226687,distance_weight_interaction,distance
categorical__route_Oklahoma City → Mobile,0.0011341234,route_Oklahoma City → Mobile,route
categorical__delivery_San Antonio,0.0011208559,delivery_San Antonio,delivery
categorical__equipment_Flatbed,0.0010932839,equipment_Flatbed,equipment
numeric__market_index_log,0.0010911766,market_index_log,market_index
numeric__weekday_sin,0.0010206136,weekday_sin,weekday_sin
numeric__month_cos,0.0010153493,month_cos,month
categorical__delivery_Mobile,0.00092745037,delivery_Mobile,delivery
categorical__route_Amarillo → Albuquerque,0.00091480685,route_Amarillo → Albuquerque,route
numeric__quote_signal_squared,0.00091271463,quote_signal_squared,quote_signal
categorical__delivery_Louisville,0.0008862565,delivery_Louisville,delivery
numeric__quote_signal,0.0008645241,quote_signal,quote_signal
categorical__pickup_Fort Wayne,0.0008541803,pickup_Fort Wayne,pickup
categorical__delivery_Kansas City,0.0008510338,delivery_Kansas City,delivery
numeric__market_index_squared,0.00084332435,market_index_squared,market_index
numeric__weight_squared,0.00083436555,weight_squared,weight
categorical__route_Oklahoma City → Baton Rouge,0.0008308666,route_Oklahoma City → Baton Rouge,route
categorical__pickup_Fresno,0.0008262288,pickup_Fresno,pickup
categorical__delivery_Harrisburg,0.0008090957,delivery_Harrisburg,delivery
categorical__delivery_Nashville,0.00080805935,delivery_Nashville,delivery
categorical__pickup_Montgomery,0.0008066527,pickup_Montgomery,pickup
numeric__market_index,0.00080381107,market_index,market_index
categorical__pickup_Amarillo,0.0008024759,pickup_Amarillo,pickup
categorical__pickup_Dayton,0.0008020249,pickup_Dayton,pickup
categorical__route_Milwaukee → Hartford,0.0007919521,route_Milwaukee → Hartford,route
categorical__delivery_Reno,0.00078976445,delivery_Reno,delivery
categorical__delivery_Detroit,0.0007780155,delivery_Detroit,delivery
categorical__pickup_Detroit,0.0007712551,pickup_Detroit,pickup
categorical__pickup_Dallas,0.0007559133,pickup_Dallas,pickup
categorical__route_Kansas City → Los Angeles,0.0007521624,route_Kansas City → Los Angeles,route
categorical__pickup_Washington,0.0007477134,pickup_Washington,pickup
numeric__pickup_lat,0.00074731756,pickup_lat,pickup
numeric__weight_log,0.00073273265,weight_log,weight
numeric__week_of_year,0.0007324303,week_of_year,week_of_year
numeric__day_of_year,0.00073145767,day_of_year,day
categorical__delivery_Lubbock,0.0007293177,delivery_Lubbock,delivery
numeric__weekday_cos,0.00072114426,weekday_cos,weekday_cos
categorical__delivery_Albuquerque,0.0007173945,delivery_Albuquerque,delivery
categorical__route_Las Vegas → Baton Rouge,0.0007072246,route_Las Vegas → Baton Rouge,route
categorical__delivery_Little Rock,0.00070568256,delivery_Little Rock,delivery
numeric__delivery_lon,0.00069968536,delivery_lon,delivery
categorical__route_Chattanooga → Grand Rapids,0.0006989088,route_Chattanooga → Grand Rapids,route
categorical__route_Lexington → Phoenix,0.00069728756,route_Lexington → Phoenix,route
categorical__route_Lexington → Baton Rouge,0.0006961555,route_Lexington → Baton Rouge,route
categorical__route_Cincinnati → Los Angeles,0.0006941291,route_Cincinnati → Los Angeles,route
categorical__pickup_Salt Lake City,0.00068757654,pickup_Salt Lake City,pickup
categorical__delivery_Richmond,0.0006861828,delivery_Richmond,delivery
numeric__weight_per_mile,0.0006824264,weight_per_mile,weight
categorical__route_Lexington → Green Bay,0.0006822142,route_Lexington → Green Bay,route
categorical__pickup_Atlanta,0.00067951187,pickup_Atlanta,pickup
numeric__delivery_lat,0.0006781132,delivery_lat,delivery
categorical__pickup_Boston,0.0006764987,pickup_Boston,pickup
categorical__pickup_Chattanooga,0.000676348,pickup_Chattanooga,pickup
categorical__pickup_Greensboro,0.0006760825,pickup_Greensboro,pickup
categorical__pickup_Corpus Christi,0.00067413016,pickup_Corpus Christi,pickup
numeric__weight,0.0006719029,weight,weight
categorical__route_Fort Wayne → Philadelphia,0.0006701498,route_Fort Wayne → Philadelphia,route
categorical__delivery_Tampa,0.0006692732,delivery_Tampa,delivery
categorical__route_Grand Rapids → Fort Wayne,0.0006654759,route_Grand Rapids → Fort Wayne,route
numeric__day,0.000664116,day,day
categorical__pickup_St. Louis,0.00066220545,pickup_St. Louis,pickup
categorical__delivery_Indianapolis,0.0006616293,delivery_Indianapolis,delivery
categorical__pickup_Jacksonville,0.0006575599,pickup_Jacksonville,pickup
numeric__month,0.0006566847,month,month
categorical__pickup_Toledo,0.0006557471,pickup_Toledo,pickup
categorical__pickup_Madison,0.00065462565,pickup_Madison,pickup
categorical__route_Atlanta → Montgomery,0.0006523712,route_Atlanta → Montgomery,route
categorical__route_Shreveport → Houston,0.0006502687,route_Shreveport → Houston,route
categorical__delivery_Savannah,0.00064610416,delivery_Savannah,delivery
categorical__delivery_Memphis,0.00064334075,delivery_Memphis,delivery
categorical__pickup_Albuquerque,0.0006410061,pickup_Albuquerque,pickup
categorical__pickup_Kansas City,0.0006394875,pickup_Kansas City,pickup
categorical__route_Shreveport → Philadelphia,0.00063876243,route_Shreveport → Philadelphia,route
categorical__delivery_Dayton,0.0006384842,delivery_Dayton,delivery
categorical__pickup_Providence,0.00063681987,pickup_Providence,pickup
categorical__pickup_Baton Rouge,0.0006347269,pickup_Baton Rouge,pickup
categorical__route_Los Angeles → Green Bay,0.00063460146,route_Los Angeles → Green Bay,route
categorical__delivery_Shreveport,0.0006345634,delivery_Shreveport,delivery
numeric__day_of_week,0.0006330092,day_of_week,day
categorical__route_Montgomery → Houston,0.0006322097,route_Montgomery → Houston,route
categorical__pickup_Phoenix,0.0006311329,pickup_Phoenix,pickup
categorical__delivery_Corpus Christi,0.0006310678,delivery_Corpus Christi,delivery
categorical__delivery_Bakersfield,0.00063044694,delivery_Bakersfield,delivery
numeric__pickup_lon,0.0006287129,pickup_lon,pickup
categorical__delivery_Phoenix,0.0006272907,delivery_Phoenix,delivery
categorical__route_Greensboro → Milwaukee,0.0006189071,route_Greensboro → Milwaukee,route
numeric__lat_difference,0.0006180002,lat_difference,lat_difference
categorical__route_Mobile → Memphis,0.00061703334,route_Mobile → Memphis,route
categorical__route_Chattanooga → Atlanta,0.000615232,route_Chattanooga → Atlanta,route
categorical__route_Bakersfield → Lexington,0.0006139011,route_Bakersfield → Lexington,route
categorical__pickup_Shreveport,0.0006134706,pickup_Shreveport,pickup
categorical__route_Cincinnati → St. Louis,0.00061336084,route_Cincinnati → St. Louis,route
categorical__delivery_St. Louis,0.000609455,delivery_St. Louis,delivery
categorical__route_Buffalo → San Antonio,0.0006082903,route_Buffalo → San Antonio,route
categorical__pickup_El Paso,0.0006052094,pickup_El Paso,pickup
categorical__pickup_Tulsa,0.0006046813,pickup_Tulsa,pickup
categorical__route_Nashville → Charleston,0.0006045978,route_Nashville → Charleston,route
categorical__pickup_Harrisburg,0.0006012413,pickup_Harrisburg,pickup
categorical__delivery_Fort Wayne,0.0005998267,delivery_Fort Wayne,delivery
categorical__route_Amarillo → Lubbock,0.0005976871,route_Amarillo → Lubbock,route
categorical__delivery_Amarillo,0.00059726165,delivery_Amarillo,delivery
categorical__pickup_Lexington,0.0005970923,pickup_Lexington,pickup
categorical__pickup_Grand Rapids,0.00059218216,pickup_Grand Rapids,pickup
categorical__pickup_Las Vegas,0.0005901037,pickup_Las Vegas,pickup
categorical__pickup_Savannah,0.0005890567,pickup_Savannah,pickup
categorical__pickup_Raleigh,0.0005864791,pickup_Raleigh,pickup
categorical__route_Mobile → Amarillo,0.0005863048,route_Mobile → Amarillo,route
categorical__route_Oklahoma City → Houston,0.0005862958,route_Oklahoma City → Houston,route
categorical__pickup_Cincinnati,0.00058608776,pickup_Cincinnati,pickup
categorical__route_Kansas City → Syracuse,0.00058549474,route_Kansas City → Syracuse,route
categorical__pickup_Oklahoma City,0.0005845668,pickup_Oklahoma City,pickup
categorical__delivery_Grand Rapids,0.00058220304,delivery_Grand Rapids,delivery
categorical__route_Los Angeles → Mobile,0.0005817805,route_Los Angeles → Mobile,route
categorical__route_Charleston → Shreveport,0.00058170897,route_Charleston → Shreveport,route
categorical__delivery_Houston,0.0005738936,delivery_Houston,delivery
categorical__route_Chattanooga → Mobile,0.0005736608,route_Chattanooga → Mobile,route
categorical__delivery_Los Angeles,0.00056994293,delivery_Los Angeles,delivery
categorical__route_Grand Rapids → Columbia,0.0005675722,route_Grand Rapids → Columbia,route
categorical__delivery_Baltimore,0.00056628155,delivery_Baltimore,delivery
categorical__route_Jacksonville → Oklahoma City,0.0005615693,route_Jacksonville → Oklahoma City,route
categorical__route_Memphis → Chattanooga,0.0005608513,route_Memphis → Chattanooga,route
categorical__route_Kansas City → Boston,0.0005598598,route_Kansas City → Boston,route
categorical__pickup_Louisville,0.0005567057,pickup_Louisville,pickup
categorical__route_Syracuse → Phoenix,0.0005553728,route_Syracuse → Phoenix,route
categorical__pickup_Nashville,0.00055310444,pickup_Nashville,pickup
categorical__route_Lubbock → Los Angeles,0.0005510406,route_Lubbock → Los Angeles,route
categorical__delivery_Baton Rouge,0.00054940995,delivery_Baton Rouge,delivery
categorical__route_Lexington → Philadelphia,0.0005453417,route_Lexington → Philadelphia,route
categorical__delivery_Milwaukee,0.0005448851,delivery_Milwaukee,delivery
categorical__route_Richmond → Oklahoma City,0.0005446394,route_Richmond → Oklahoma City,route
categorical__delivery_Charleston,0.0005443843,delivery_Charleston,delivery
categorical__pickup_Little Rock,0.0005418947,pickup_Little Rock,pickup
categorical__delivery_Lexington,0.00053827965,delivery_Lexington,delivery
categorical__route_Oklahoma City → Montgomery,0.0005372859,route_Oklahoma City → Montgomery,route
categorical__pickup_Philadelphia,0.00053490774,pickup_Philadelphia,pickup
categorical__route_Lexington → Bakersfield,0.0005339479,route_Lexington → Bakersfield,route
categorical__delivery_Hartford,0.000533901,delivery_Hartford,delivery
categorical__route_Columbia → Lexington,0.0005315459,route_Columbia → Lexington,route
categorical__pickup_Tucson,0.000530332,pickup_Tucson,pickup
categorical__route_Baton Rouge → Oklahoma City,0.00052388746,route_Baton Rouge → Oklahoma City,route
categorical__route_Green Bay → Milwaukee,0.000521528,route_Green Bay → Milwaukee,route
categorical__route_Mobile → Richmond,0.00051922444,route_Mobile → Richmond,route
categorical__delivery_Washington,0.0005190215,delivery_Washington,delivery
categorical__delivery_Providence,0.0005183605,delivery_Providence,delivery
categorical__pickup_Charleston,0.0005180209,pickup_Charleston,pickup
categorical__route_Fresno → Los Angeles,0.00051691366,route_Fresno → Los Angeles,route
categorical__route_Richmond → Milwaukee,0.00051529746,route_Richmond → Milwaukee,route
categorical__route_Greensboro → Baton Rouge,0.0005145405,route_Greensboro → Baton Rouge,route
categorical__delivery_Las Vegas,0.00051412714,delivery_Las Vegas,delivery
categorical__pickup_Albany,0.0005137256,pickup_Albany,pickup
categorical__delivery_Dallas,0.0005128091,delivery_Dallas,delivery
categorical__route_Lexington → Shreveport,0.0005120785,route_Lexington → Shreveport,route
categorical__delivery_Columbia,0.00051047665,delivery_Columbia,delivery
categorical__route_Fort Wayne → Oklahoma City,0.00051007065,route_Fort Wayne → Oklahoma City,route
categorical__route_Los Angeles → Columbia,0.00050734123,route_Los Angeles → Columbia,route
categorical__route_Lexington → Fresno,0.0005066228,route_Lexington → Fresno,route
categorical__route_Baton Rouge → Buffalo,0.00050631433,route_Baton Rouge → Buffalo,route
categorical__route_Kansas City → Phoenix,0.0005030099,route_Kansas City → Phoenix,route
categorical__route_Albany → Richmond,0.0005014959,route_Albany → Richmond,route
categorical__delivery_Oklahoma City,0.00050042284,delivery_Oklahoma City,delivery
categorical__route_Chattanooga → Kansas City,0.00049614516,route_Chattanooga → Kansas City,route
categorical__route_Charleston → Phoenix,0.0004959064,route_Charleston → Phoenix,route
categorical__route_Atlanta → Richmond,0.00049579336,route_Atlanta → Richmond,route
categorical__delivery_Green Bay,0.00049134064,delivery_Green Bay,delivery
categorical__delivery_Cincinnati,0.0004909655,delivery_Cincinnati,delivery
categorical__route_Columbia → Kansas City,0.0004899204,route_Columbia → Kansas City,route
categorical__pickup_Columbia,0.0004881169,pickup_Columbia,pickup
categorical__pickup_Richmond,0.00048772412,pickup_Richmond,pickup
categorical__route_Albuquerque → Bakersfield,0.00048755502,route_Albuquerque → Bakersfield,route
categorical__delivery_Toledo,0.00048698785,delivery_Toledo,delivery
categorical__route_Los Angeles → Syracuse,0.00048594148,route_Los Angeles → Syracuse,route
categorical__delivery_Salt Lake City,0.00048519313,delivery_Salt Lake City,delivery
categorical__route_Montgomery → Oklahoma City,0.00048099103,route_Montgomery → Oklahoma City,route
categorical__delivery_Tulsa,0.00047857955,delivery_Tulsa,delivery
categorical__route_Lexington → Memphis,0.00047686076,route_Lexington → Memphis,route
categorical__delivery_Syracuse,0.0004758582,delivery_Syracuse,delivery
categorical__route_San Francisco → Baton Rouge,0.00047421776,route_San Francisco → Baton Rouge,route
categorical__pickup_San Antonio,0.00047364028,pickup_San Antonio,pickup
categorical__route_Bakersfield → Cincinnati,0.000472717,route_Bakersfield → Cincinnati,route
categorical__route_Las Vegas → Grand Rapids,0.0004726,route_Las Vegas → Grand Rapids,route
categorical__pickup_Reno,0.0004701552,pickup_Reno,pickup
categorical__route_Toledo → Shreveport,0.0004691851,route_Toledo → Shreveport,route
categorical__route_Green Bay → Houston,0.00046895936,route_Green Bay → Houston,route
categorical__route_Bakersfield → Jacksonville,0.00046435042,route_Bakersfield → Jacksonville,route
categorical__route_Columbia → Houston,0.00046387178,route_Columbia → Houston,route
categorical__route_Reno → Jacksonville,0.00046371843,route_Reno → Jacksonville,route
categorical__route_Richmond → Nashville,0.0004605558,route_Richmond → Nashville,route
categorical__delivery_Albany,0.00045998834,delivery_Albany,delivery
categorical__route_Phoenix → Jacksonville,0.00045894456,route_Phoenix → Jacksonville,route
categorical__route_Raleigh → Fort Wayne,0.00045875393,route_Raleigh → Fort Wayne,route
categorical__pickup_Mobile,0.00045871286,pickup_Mobile,pickup
categorical__route_Tucson → El Paso,0.0004582314,route_Tucson → El Paso,route
categorical__route_Columbia → Cincinnati,0.000458066,route_Columbia → Cincinnati,route
categorical__route_Cincinnati → Albany,0.00045575877,route_Cincinnati → Albany,route
categorical__route_El Paso → Indianapolis,0.00045547853,route_El Paso → Indianapolis,route
categorical__route_Bakersfield → Hartford,0.00045544846,route_Bakersfield → Hartford,route
categorical__route_Mobile → Harrisburg,0.00045326687,route_Mobile → Harrisburg,route
categorical__delivery_Madison,0.0004526244,delivery_Madison,delivery
categorical__route_Albany → Lexington,0.00045210824,route_Albany → Lexington,route
categorical__route_Nashville → Milwaukee,0.00045128958,route_Nashville → Milwaukee,route
categorical__route_Nashville → Syracuse,0.00045123944,route_Nashville → Syracuse,route
categorical__route_Bakersfield → Milwaukee,0.0004495746,route_Bakersfield → Milwaukee,route
categorical__route_San Antonio → Columbia,0.00044483328,route_San Antonio → Columbia,route
categorical__pickup_Austin,0.00044468787,pickup_Austin,pickup
categorical__route_Amarillo → Mobile,0.00044450245,route_Amarillo → Mobile,route
categorical__route_Columbia → Hartford,0.00044108008,route_Columbia → Hartford,route
categorical__route_Charleston → Lubbock,0.00044068735,route_Charleston → Lubbock,route
categorical__route_Atlanta → Los Angeles,0.00044038813,route_Atlanta → Los Angeles,route
categorical__delivery_Philadelphia,0.00044010958,delivery_Philadelphia,delivery
categorical__route_Baton Rouge → San Antonio,0.0004395363,route_Baton Rouge → San Antonio,route
categorical__route_Nashville → Hartford,0.00043916228,route_Nashville → Hartford,route
categorical__delivery_Fresno,0.00043885226,delivery_Fresno,delivery
categorical__route_Albany → Reno,0.00043582421,route_Albany → Reno,route
categorical__route_Nashville → Tampa,0.0004347159,route_Nashville → Tampa,route
categorical__route_Mobile → Phoenix,0.0004346612,route_Mobile → Phoenix,route
categorical__route_Phoenix → Philadelphia,0.00043459094,route_Phoenix → Philadelphia,route
categorical__route_Phoenix → Nashville,0.00043376256,route_Phoenix → Nashville,route
categorical__route_Salt Lake City → Mobile,0.00043140815,route_Salt Lake City → Mobile,route
categorical__route_Hartford → Memphis,0.00043008456,route_Hartford → Memphis,route
categorical__delivery_New York,0.0004275906,delivery_New York,delivery
categorical__route_Phoenix → Syracuse,0.00042749886,route_Phoenix → Syracuse,route
categorical__route_El Paso → Dayton,0.00042645846,route_El Paso → Dayton,route
categorical__route_Richmond → Montgomery,0.00042581675,route_Richmond → Montgomery,route
categorical__route_Albany → Baton Rouge,0.0004255863,route_Albany → Baton Rouge,route
categorical__route_Fort Wayne → Atlanta,0.00042540274,route_Fort Wayne → Atlanta,route
categorical__route_Syracuse → Oklahoma City,0.00042406927,route_Syracuse → Oklahoma City,route
categorical__route_Buffalo → Bakersfield,0.00042085827,route_Buffalo → Bakersfield,route
categorical__route_Milwaukee → Grand Rapids,0.00041955765,route_Milwaukee → Grand Rapids,route
categorical__pickup_Milwaukee,0.0004189159,pickup_Milwaukee,pickup
categorical__delivery_Jacksonville,0.0004174977,delivery_Jacksonville,delivery
categorical__route_Mobile → Cincinnati,0.0004154772,route_Mobile → Cincinnati,route
categorical__route_Tucson → Houston,0.00041461835,route_Tucson → Houston,route
categorical__route_Charleston → Richmond,0.00041404457,route_Charleston → Richmond,route
categorical__route_Bakersfield → New York,0.00041403755,route_Bakersfield → New York,route
categorical__route_Lubbock → Memphis,0.00041158052,route_Lubbock → Memphis,route
categorical__delivery_Montgomery,0.0004093011,delivery_Montgomery,delivery
categorical__route_Chattanooga → Fort Wayne,0.00040926225,route_Chattanooga → Fort Wayne,route
categorical__pickup_Memphis,0.00040917253,pickup_Memphis,pickup
categorical__route_Dayton → Baton Rouge,0.00040810675,route_Dayton → Baton Rouge,route
categorical__route_Richmond → Savannah,0.00040789237,route_Richmond → Savannah,route
categorical__route_Madison → Grand Rapids,0.00040765555,route_Madison → Grand Rapids,route
categorical__route_Kansas City → Mobile,0.00040492124,route_Kansas City → Mobile,route
categorical__route_Hartford → Mobile,0.00040433533,route_Hartford → Mobile,route
numeric__month_sin,0.00040430963,month_sin,month
categorical__route_Amarillo → Little Rock,0.00040341052,route_Amarillo → Little Rock,route
categorical__route_Syracuse → Richmond,0.00040156874,route_Syracuse → Richmond,route
categorical__route_San Antonio → Memphis,0.00040128254,route_San Antonio → Memphis,route
categorical__route_Montgomery → Providence,0.0004008935,route_Montgomery → Providence,route
categorical__delivery_Birmingham,0.00039954454,delivery_Birmingham,delivery
categorical__route_Montgomery → Memphis,0.00039574533,route_Montgomery → Memphis,route
categorical__route_Richmond → Shreveport,0.00039562385,route_Richmond → Shreveport,route
categorical__pickup_Syracuse,0.00039415245,pickup_Syracuse,pickup
categorical__route_Atlanta → Baton Rouge,0.00039361886,route_Atlanta → Baton Rouge,route
categorical__route_Atlanta → Hartford,0.0003935678,route_Atlanta → Hartford,route
categorical__pickup_Houston,0.0003918873,pickup_Houston,pickup
categorical__route_Baton Rouge → Philadelphia,0.0003899355,route_Baton Rouge → Philadelphia,route
categorical__route_Hartford → Oklahoma City,0.00038847188,route_Hartford → Oklahoma City,route
categorical__delivery_Atlanta,0.00038714564,delivery_Atlanta,delivery
categorical__route_Baton Rouge → Phoenix,0.00038711942,route_Baton Rouge → Phoenix,route
categorical__delivery_New Orleans,0.0003853043,delivery_New Orleans,delivery
categorical__route_Oklahoma City → Atlanta,0.00038441934,route_Oklahoma City → Atlanta,route
categorical__delivery_Greensboro,0.0003833898,delivery_Greensboro,delivery
categorical__route_Jacksonville → Shreveport,0.00038219907,route_Jacksonville → Shreveport,route
categorical__route_Richmond → Baltimore,0.0003819261,route_Richmond → Baltimore,route
categorical__route_Green Bay → Shreveport,0.00038174013,route_Green Bay → Shreveport,route
categorical__route_Milwaukee → Richmond,0.00037809357,route_Milwaukee → Richmond,route
categorical__route_Buffalo → Shreveport,0.00037725782,route_Buffalo → Shreveport,route
categorical__route_Little Rock → Richmond,0.00037688875,route_Little Rock → Richmond,route
categorical__route_Albany → Shreveport,0.0003759812,route_Albany → Shreveport,route
categorical__route_El Paso → Detroit,0.00037541243,route_El Paso → Detroit,route
categorical__delivery_Raleigh,0.00037507562,delivery_Raleigh,delivery
